File,RMS_Mean,RMS_Std,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
weld_108.wav,0.0022429754,0.0025266057,-626.4204,152.34831,-89.75592,38.971863,16.246418,-26.32661,32.33877,-6.367305,-3.99559,22.698784,-12.912984,5.8943715,10.728701
weld_1080.wav,0.0021632668,0.0018505875,-587.7492,189.86787,-95.375336,46.682037,13.229452,-27.761742,38.42956,-17.70997,-7.1294413,26.720816,-22.441463,4.481427,14.210581
weld_1081.wav,0.0020424589,0.0020698127,-539.04126,115.97155,-51.487534,26.15712,10.566404,-12.323073,23.14708,-9.573896,-2.700842,17.801245,-13.635914,0.93745434,10.394294
weld_1082.wav,0.0020680057,0.0019249277,-562.16907,160.9731,-90.33664,33.45197,14.35743,-22.465477,31.171211,-13.8273535,-5.636732,23.85227,-17.04105,3.074119,11.5163555
weld_1083.wav,0.0019291604,0.0016801122,-573.87537,164.87497,-87.860916,37.533504,14.413387,-22.104134,33.009502,-13.958055,-4.4190836,23.872139,-18.78965,4.520419,11.973795
weld_1084.wav,0.0020692626,0.0018886838,-580.622,180.99393,-90.5488,42.68339,13.867735,-25.572327,34.711098,-15.835478,-4.8109574,24.469046,-22.28877,4.0505676,12.147501
weld_1085.wav,0.0019438306,0.0017587903,-592.77386,182.05617,-95.77662,42.030815,13.962602,-25.674446,35.91348,-15.874204,-4.194028,25.517986,-22.298555,5.522944,13.471712
weld_1086.wav,0.0021049965,0.0017391925,-582.37775,188.67339,-94.52682,41.65351,14.262212,-24.36327,35.499836,-17.689854,-4.16186,26.005981,-22.425646,5.3713603,12.520472
weld_1087.wav,0.0021229947,0.0018339237,-573.7889,173.49509,-84.11585,43.13854,13.99264,-23.812075,35.286224,-14.420965,-5.5125785,24.326056,-20.815123,2.6294174,12.051961
weld_1088.wav,0.0022136073,0.0018138421,-572.8951,183.03073,-91.150314,38.806168,15.7211485,-23.27565,33.730206,-14.686542,-3.9948041,24.577412,-20.595068,4.4820395,11.983289
weld_1089.wav,0.0020410882,0.001732046,-581.41235,181.07301,-92.04341,43.06982,13.930042,-25.620066,35.32132,-15.975781,-4.204467,25.635504,-22.477512,4.581457,13.763139
weld_109.wav,0.0019846088,0.0023312042,-646.3059,164.21951,-100.24312,42.01833,15.854123,-29.118153,36.83609,-6.76232,-4.365151,23.948866,-15.786212,6.082482,11.37256
weld_1090.wav,0.0021954107,0.0017906962,-575.4104,186.38083,-89.10197,47.097668,15.175048,-25.116795,36.353474,-16.386454,-4.0744715,25.275724,-23.817078,4.133427,11.957975
weld_1091.wav,0.0017396642,0.0015504351,-555.5636,136.90211,-62.413715,30.247532,10.616953,-14.505705,27.319828,-13.066159,-3.272601,20.312208,-16.000849,2.5006988,9.906226
weld_1092.wav,0.00179194,0.0011258695,-602.17456,206.2855,-107.455345,50.359444,10.58721,-30.039242,45.266876,-20.50956,-7.8647504,29.362751,-25.334059,5.3982496,13.768305
weld_1093.wav,0.0018059503,0.0011894865,-598.0747,205.76091,-111.485405,51.583874,11.0081835,-31.806393,45.39402,-20.264994,-7.931208,29.41196,-25.64134,5.1465945,12.594175
weld_1094.wav,0.0016985082,0.0010938039,-604.8634,209.86037,-108.33416,49.98075,13.088139,-30.119373,43.129623,-19.36508,-5.791502,29.268261,-25.483875,5.866722,13.296524
weld_1095.wav,0.0016964512,0.0011075562,-604.6852,205.71948,-107.95511,49.73155,12.017045,-30.232336,44.028698,-19.497654,-6.9606233,29.909859,-24.751114,5.1494184,13.844513
weld_1096.wav,0.002263863,0.0015221401,-586.8357,200.90054,-122.87889,51.51261,23.559965,-36.708164,39.62803,-8.790968,-7.558377,25.32143,-18.367683,6.2457542,11.012127
